date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-22,39.17,40.36,37.8,38.55,38708211.0,1531506996.0,1860594727.0000002,0.020804214071063525
2024-01-23,38.3,39.12,37.28,38.08,28845824.0,1118325785.0,1860594727.0000002,0.015503550333344569
2024-01-24,38.33,38.37,36.42,37.57,29424288.0,1109895318.0,1860594727.0000002,0.015814453074068074
2024-01-25,37.18,38.46,36.74,38.41,26960584.0,1034173074.0,1860594727.0000002,0.01449030442189359
2024-01-26,37.99,38.43,37.4,37.4,20381560.0,781340050.0,1860594727.0000002,0.01095432535857122
2024-01-29,37.5,37.6,35.55,35.55,22726923.0,836356231.0,1860594727.0000002,0.012214870154256863
2024-01-30,35.17,36.12,34.29,34.34,19714277.0,700902325.0,1860594727.0000002,0.01059568573097434
2024-01-31,34.59,36.29,34.24,34.32,31653994.0,1127614646.0,1860594727.0000002,0.017012836562768564
2024-02-01,33.75,34.49,33.31,33.47,21850964.0,749560794.0,1860594727.0000002,0.011744074990060959
2024-02-02,33.55,33.88,31.24,32.37,29751457.0,980975102.0,1860594727.0000002,0.01599029416146464
2024-02-05,31.95,32.93,30.13,31.61,33833864.0,1087367092.0,1861566271.0000002,0.018174944683449303
2024-02-06,31.32,33.85,31.28,33.76,30615392.0,1023969710.0,1861566271.0000002,0.016446039271840674
2024-02-07,33.74,34.53,33.35,33.72,32598774.0,1119839722.0,1861566271.0000002,0.017511476495805072
2024-02-08,34.02,35.23,33.73,34.73,27907558.0,976382136.0,1861566271.0000002,0.014991439431811663
2024-02-19,34.93,35.3,34.25,34.68,20361694.0,714528273.0,1861566271.0000002,0.010937936681170131
2024-02-20,34.35,34.62,33.9,34.44,15914499.0,552190916.0,1861566271.0000002,0.008548983320078642
2024-02-21,34.23,35.92,34.04,35.14,25375661.0,904880772.0,1861566271.0000002,0.013631349791468152
2024-02-22,34.82,35.39,34.76,35.2,16055149.0,569875626.0,1861566271.0000002,0.008624537976494095
2024-02-23,35.33,36.02,35.01,35.62,20237916.0,727741383.0,1861566271.0000002,0.010871445360432186
2024-02-26,35.52,36.02,35.13,35.47,19668478.0,708642185.0,1861566271.0000002,0.010565553483859827
2024-02-27,35.33,36.16,35.21,36.16,21689614.0,784666263.0,1861566271.0000002,0.011651271479230618
2024-02-28,36.36,37.87,35.49,35.5,38204007.0,1427811087.0,1861566271.0000002,0.020522507092630923
2024-02-29,35.16,37.82,35.16,37.8,43747430.0,1628592208.0,1861566271.0000002,0.023500334466470357
2024-03-01,37.82,39.28,37.69,38.88,43252515.0,1689612523.0,1861566271.0000002,0.023234475008383944
2024-03-04,38.89,39.95,38.3,38.41,27492673.0,1085879827.0,1861566271.0000002,0.014768570653802954
2024-03-05,37.89,38.2,37.37,37.94,20652491.0,791136586.0,1861566271.0000002,0.01109414761200301
2024-03-06,37.67,39.29,37.4,38.41,21411525.0,829913375.0,1861566271.0000002,0.011501887057986987
2024-03-07,38.35,38.63,37.37,37.37,15815346.0,607994464.0,1861566271.0000002,0.008495720107511552
2024-03-08,37.38,38.19,36.8,37.11,16260615.0,614443066.0,1861566271.0000002,0.008734910625161406
2024-03-11,38.09,42.19,38.04,41.94,64894691.0,2651262665.0,1861566271.0000002,0.034860263645161406
2024-03-12,42.63,42.9,41.44,41.89,48308781.0,2060799189.0,1861566271.0000002,0.025950610382540602
2024-03-13,41.5,42.01,41.17,41.94,26929173.0,1134861986.0,1861566271.0000002,0.014465868564289214
2024-03-14,41.59,42.48,40.87,41.16,22735879.0,959026840.0,1861566271.0000002,0.012213306264829719
2024-03-15,40.85,41.11,39.71,40.52,23898729.0,974652536.0,1861566271.0000002,0.012837968420625729
2024-03-18,41.64,41.94,40.98,41.52,29986037.0,1260784557.0,1861566271.0000002,0.016107961057917123
2024-03-19,41.44,42.09,40.95,41.05,20485515.0,858813067.0,1861566271.0000002,0.011004451100736556
2024-03-20,40.95,41.93,40.77,41.38,17544010.0,737119109.0,1861566271.0000002,0.009424327392102819
2024-03-21,41.26,42.04,41.05,41.22,17628150.0,740685344.0,1861566271.0000002,0.009469525890437664
2024-03-22,41.05,41.29,39.88,39.88,18068273.0,738548519.0,1861566271.0000002,0.009705952069218596
2024-03-25,39.82,39.88,38.82,38.82,16589890.0,659872615.0,1861566271.0000002,0.00891179124721045
2024-03-26,38.72,40.98,38.63,40.52,27106322.0,1094895717.0,1861566271.0000002,0.014561029828628646
2024-03-27,40.26,40.43,38.33,38.33,18260564.0,724993821.0,1861566271.0000002,0.009809247344275716
2024-03-28,38.38,39.25,38.29,38.75,13958376.0,549031651.0,1861566271.0000002,0.007498189141825077
2024-03-29,38.69,39.67,38.39,38.64,13315552.0,525396693.0,1861566271.0000002,0.007152875622766372
2024-04-01,38.87,40.29,38.87,40.14,20578181.0,832773561.0,1861551271.0000002,0.011054318686020224
2024-04-02,40.14,41.0,39.68,40.65,24308182.0,995754089.0,1861551271.0000002,0.013058024443743616
2024-04-03,40.65,41.21,39.72,39.93,20093329.0,821034437.0,1861551271.0000002,0.01079386279229695
2024-04-08,39.33,40.3,38.09,38.1,25676565.0,1010045532.0,1861551271.0000002,0.01379310116245517
2024-04-09,37.99,39.76,37.89,39.61,28022460.0,1113579549.0,1861551271.0000002,0.01505328401991674
2024-04-10,39.98,40.0,38.58,38.83,15337720.0,606581176.0,1861551271.0000002,0.008239214379392722
2024-04-11,38.37,38.71,37.72,38.11,16534146.0,639748992.0,1861551271.0000002,0.008881918138691974
2024-04-12,37.9,38.04,36.13,36.2,27074984.0,1007137919.0,1861551271.0000002,0.014544312811462713
2024-04-15,36.21,37.75,36.12,36.52,21264520.0,794887555.0,1861551271.0000002,0.01142301065314037
2024-04-16,36.5,36.53,35.16,35.21,20302884.0,732155662.0,1861551271.0000002,0.01090643288545771
2024-04-17,35.48,36.18,35.46,36.03,15980111.0,580284397.0,1861551271.0000002,0.008584298079212021
2024-04-18,35.98,36.24,34.96,35.72,16845317.0,610012518.0,1861551271.0000002,0.009049074963673132
2024-04-19,35.68,35.68,34.25,34.54,20735094.0,729526432.0,1861551271.0000002,0.011138610213438488
2024-04-22,34.68,35.33,33.86,34.39,18097295.0,630254735.0,1861551271.0000002,0.00972162050109873
2024-04-23,34.43,34.78,33.91,34.54,14230423.0,495496717.0,1861551271.0000002,0.007644389505509354
2024-04-24,34.24,34.31,33.15,33.82,24091282.0,821125795.0,1861551271.0000002,0.012941508716576197
2024-04-25,34.39,36.5,34.37,35.44,37551857.0,1350506179.0,1861551271.0000002,0.02017234635703998
2024-04-26,35.04,36.06,35.03,35.81,21879662.0,790920155.0,1861551271.0000002,0.011753456561122026
2024-04-29,35.9,37.94,35.88,37.24,35727930.0,1344057673.0,1861551271.0000002,0.01919255760321199
2024-04-30,37.25,37.47,36.45,36.48,20171916.0,750566134.0,1861551271.0000002,0.010836078658829481
2024-05-06,37.5,38.78,37.5,38.27,32096344.0,1241776281.0,1861551271.0000002,0.01724171904368676
2024-05-07,38.16,38.46,37.84,38.33,16485692.0,637530856.0,1861551271.0000002,0.008855889309534896
2024-05-08,38.13,38.24,36.91,37.11,18409131.0,698816199.0,1861551271.0000002,0.009889134555026713
2024-05-09,39.32,39.77,38.3,39.17,51913940.0,2062637012.0,1861551271.0000002,0.027887461822156814
2024-05-10,39.46,39.46,38.25,38.43,23091281.0,902667746.0,1861551271.0000002,0.01240432179318686
2024-05-13,37.68,38.07,37.18,37.49,17499963.0,666493460.0,1861551271.0000002,0.009400741882655349
2024-05-14,37.59,37.77,37.01,37.11,14939679.0,563727993.0,1861551271.0000002,0.008025392173042113
2024-05-15,37.38,38.47,36.83,36.9,14022668.0,532743860.0,1861551271.0000002,0.0075327863478437595
2024-05-16,37.08,37.66,36.63,37.1,13434788.0,506023628.0,1861551271.0000002,0.007216985215122769
2024-05-17,36.9,37.6,36.64,37.57,17355364.0,653711693.0,1861551271.0000002,0.00932306526839679
2024-05-20,37.58,37.94,36.88,37.17,17965045.0,679681108.0,1861551271.0000002,0.00965057760152339
2024-05-21,37.18,37.44,36.8,37.09,15382713.0,569905798.0,1861551271.0000002,0.008263384006467152
2024-05-22,37.2,39.23,36.9,38.96,42151998.0,1620103508.0,1861551271.0000002,0.02264347947685401
2024-05-23,38.67,38.84,37.89,38.06,18800192.0,718659862.0,1861551271.0000002,0.010099207200401625
2024-05-24,37.79,38.03,36.93,36.95,18539527.0,692305887.0,1861551271.0000002,0.009959181511042033
2024-05-27,36.98,37.15,36.13,36.7,13600931.0,496260586.0,1861551271.0000002,0.007306234972885685
2024-05-28,36.52,37.26,36.22,36.35,13101373.0,480927588.0,1861551271.0000002,0.007037879216166912
2024-05-29,36.65,38.99,36.6,37.47,37666066.0,1435909961.0,1861551271.0000002,0.020233697877021832
2024-05-30,37.95,38.66,37.55,38.45,27472329.0,1048436841.0,1861551271.0000002,0.014757761136088524
2024-05-31,38.2,39.9,38.16,39.18,35694141.0,1404338476.0,1861551271.0000002,0.01917440661240858
2024-06-03,39.68,41.2,39.56,40.78,47865353.0,1934003385.0,1861551271.0000002,0.025712616002398568
2024-06-04,41.55,44.38,41.4,43.71,66109167.0,2859664641.0,1861551271.0000002,0.035512944515617366
